Catholic Healthcare St Francis Aged Care,226 Arthur Street,,GRAFTON,NSW,2460,Far North Coast,Residential,48,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-29.67275546,152.9371529,3097360.98
Southern Cross Care St Catherine's Residential Aged Care,126 North Street,,GRAFTON,NSW,2460,Far North Coast,Residential,63,,,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,-29.67088759,152.941198,4133941.26
The Pioneers Lodge,15-23 Sidlow Road,,GRIFFITH,NSW,2680,Riverina/Murray,Residential,95,,,The Pioneers Lodge Limited,Private Incorporated Body,Outer Regional Australia,-34.29702039,146.0405675,5655304.58
HammondCare - Bond House,11-23 Judd Avenue,,HAMMONDVILLE,NSW,2170,South West Sydney,Residential,174,,,HammondCare,Charitable,Major Cities of Australia,-33.950558,150.959081,10879091.21
The Whiddon Group - Hornsby,Gate 5 2 Lowe Road,,HORNSBY,NSW,2077,Northern Sydney,Residential,59,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Major Cities of Australia,-33.7010696,151.1133028,2542890.58
Catholic Healthcare St Joseph Aged Care,41 Gladesville Road,,HUNTERS HILL,NSW,2110,Northern Sydney,Residential,52,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.83397475,151.1420162,3698223.13
Catholic Healthcare St Bedes Home,2 Russell Lane,,SOUTH HURSTVILLE,NSW,2221,South East Sydney,Residential,44,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.97533351,151.1110823,2659315.76
McLean Care Ltd,67 Killean Street,,INVERELL,NSW,2360,New England,Residential,138,,,McLean Care Ltd,Charitable,Outer Regional Australia,-29.76043511,151.1354318,10346075.43
Vincent Court,88 Leith Street,,WEST KEMPSEY,NSW,2440,Mid North Coast,Residential,88,,,Apollo Care Operations Pty Ltd,Private Incorporated Body,Inner Regional Australia,-31.06106274,152.8256826,4817440.25
Blue Haven Bonaira,14 Bonaira Street,,KIAMA,NSW,2533,Illawarra,Residential,134,,,The Council of the Municipality of Kiama,Local Government,Inner Regional Australia,-34.682516,150.850041,6621967.17
Catholic Healthcare Bethlehem House,30 Montgomery Street,,KOGARAH,NSW,2217,South East Sydney,Residential,29,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.96392074,151.1345997,2650621.2
The Whiddon Group - Kyogle,1 George Street,,KYOGLE,NSW,2474,Far North Coast,Residential,70,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,-28.62575475,153.001548,3742613.59
St Basil's Lakemba,300 Haldon Street,,LAKEMBA,NSW,2195,Inner West,Residential,195,,,St Basil's Homes,Charitable,Major Cities of Australia,-33.92661622,151.0808402,12756875.8
Uniting Kamilaroi Lane Cove,155 Longueville Road,,LANE COVE,NSW,2066,Northern Sydney,Residential,74,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.8170108,151.1697732,4929652.17
Uniting Annesley Haberfield,1 Haberfield Road,,HABERFIELD,NSW,2045,Inner West,Residential,86,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.88647264,151.141152,7061188.47
Uniting The Marion Leichhardt,237 Marion Street,,LEICHHARDT,NSW,2040,Inner West,Residential,134,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.88361937,151.1461364,9055188.53
Autumn Lodge Hostel,Short Street,,MACKSVILLE,NSW,2447,Mid North Coast,Residential,95,,,NVC Group Limited,Community Based,Outer Regional Australia,-30.712655,152.9203,6170719.43
The Whiddon Group - Maclean,27 Union Street,,MACLEAN,NSW,2463,Far North Coast,Residential,61,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,-29.45435382,153.2034302,4338726.26
RFBI Benhome Masonic Village,30 Regent Street,,MAITLAND,NSW,2320,Hunter,Residential,124,,,Royal Freemasons' Benevolent Institution,Charitable,Major Cities of Australia,-32.73008509,151.5454898,6493551.68
Uniting Wesley Heights Manly,47 Birkley Road,,MANLY,NSW,2095,Northern Sydney,Residential,61,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.79413224,151.2804027,2809332.78
Brother Alberts Home,116-132 Quakers Road,,MARAYONG,NSW,2148,Western Sydney,Residential,146,,,Holy Family Services,Charitable,Major Cities of Australia,-33.74258834,150.8864461,10275000.81
Catholic Healthcare St James Villa,60 Lawson Street,,MATRAVILLE,NSW,2036,South East Sydney,Residential,40,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.96297422,151.2443664,3340991.03
Uniting Irwin Hall Mayfield,13-15 Section Street,,MAYFIELD,NSW,2304,Hunter,Residential,38,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-32.89599146,151.7404975,2519598.92
Albert Moore Gardens,10 Short Street,,MERIMBULA,NSW,2548,Southern Highlands,Residential,68,,,RSL LifeCare Limited,Community Based,Outer Regional Australia,-36.8920774,149.9084763,3953487.1
Southern Cross Care John Woodward Residential Aged Care,45 Barcom Street,,MERRYLANDS,NSW,2160,Western Sydney,Residential,118,,,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,-33.83956733,150.9708538,9055390.66
Juliana Village,58 Miranda Road,,MIRANDA,NSW,2228,South East Sydney,Residential,73,,,Juliana Village Association Ltd,Community Based,Major Cities of Australia,-34.03672974,151.1080264,2447902.35
Catholic Healthcare George Mockler Hostel,99 Elimatta Road,,MONA VALE,NSW,2103,Northern Sydney,Residential,28,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.67998269,151.2969139,1735621.39
Whiddon Moree,Victoria Terrace,,MOREE,NSW,2400,New England,Residential,39,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Outer Regional Australia,-29.469656,149.839234,1912638.72
Calvary Muswellbrook Retirement Community,15 Cassidy Avenue,,MUSWELLBROOK,NSW,2333,Hunter,Residential,65,,,Calvary Retirement Communities Limited,Religious,Inner Regional Australia,-32.2809181,150.8919997,4418803.22
Wesley Taylor,156 Ocean Street,,NARRABEEN,NSW,2101,Northern Sydney,Residential,74,,,Wesley Community Services Limited,Charitable,Major Cities of Australia,-33.70935503,151.3012024,4259924.84
Uniting Osborne House Nowra,54-60 Osborne Street,,NOWRA,NSW,2541,Illawarra,Residential,107,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-34.8750613,150.5992709,6702775.72
Ascott Gardens,68 Nile Street,,ORANGE,NSW,2800,Central West,Residential,78,,,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,-33.28034225,149.1132343,5549506.9
Uniting Wontama Orange,30-38 Byng Street,,ORANGE,NSW,2800,Central West,Residential,148,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-33.28082307,149.0902776,10322966.48
Rosedurnate Aged Care Plus Centre (0130),46 Orange Street,,PARKES,NSW,2870,Central West,Residential,41,,,The Salvation Army (NSW) Property Trust,Charitable,Outer Regional Australia,-33.13824782,148.1844314,2423787.23
Melrose Cottage Settlement,157 Bungaree Road,,PENDLE HILL,NSW,2145,Western Sydney,Residential,80,,,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,-33.79989746,150.9596218,6070162.83
Cherrybrook Christian Care Centre,3-5 Kitchener Road,,CHERRYBROOK,NSW,2126,Northern Sydney,Residential,120,,,Christian Brethren Community Services,Charitable,Major Cities of Australia,-33.73098023,151.0559609,6639385.22
Uniting Locke Haven Petersham,60 New Canterbury Road,,PETERSHAM,NSW,2049,Inner West,Residential,48,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.89645088,151.1548518,3283107.74
Aubrey Downer Aged Care Home,23 Sunnyside Avenue,,POINT CLARE,NSW,2250,Central Coast,Residential,23,,,Fresh Fields Aged Care (NSW) - No 1 Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.4393194,151.3151349,1385621.91
BaptistCare George Forbes House,16 Erin Street,,QUEANBEYAN,NSW,2620,Southern Highlands,Residential,85,,,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,-35.34599447,149.2330649,5544710.69
Catholic Healthcare Holy Spirit Aged Care,13 Neptune Street,,REVESBY,NSW,2212,South West Sydney,Residential,50,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.96399322,151.0202047,2633442.15
Yallambee Village,34 Hydrae Street,,REVESBY,NSW,2212,South West Sydney,Residential,143,,,Bankstown City Aged Care Ltd,Community Based,Major Cities of Australia,-33.95876843,151.0197437,10293709.98
Uniting Bruce Sharpe Rockdale,110 Frederick Street,,ROCKDALE,NSW,2216,South East Sydney,Residential,52,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.95145788,151.1326399,3364609.53
Our Lady Of Consolation Home,32 Evans Road,,ROOTY HILL,NSW,2766,Western Sydney,Residential,172,,,Our Lady of Consolation Aged Care & Services Limited,Religious,Major Cities of Australia,-33.78276902,150.846673,8400852.5
Archbold House Aged Care Facility,16 Trafalgar Avenue,,ROSEVILLE,NSW,2069,Northern Sydney,Residential,61,,,KOPWA Limited,Community Based,Major Cities of Australia,-33.78071759,151.1766942,3704178.45
Uniting Thomas Bowden Ryde,279 Morrison Road,,RYDE,NSW,2112,Northern Sydney,Residential,47,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.81927343,151.1040452,2597314.23
Uniting Alroy House Singleton,128 Blaxland Avenue,,SINGLETON HEIGHTS,NSW,2330,Hunter,Residential,49,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-32.54797262,151.1675456,3554048.8
Calvary Cooinda Retirement Community,42 Bathurst Street,,SINGLETON,NSW,2330,Hunter,Residential,34,,,Calvary Retirement Communities Limited,Religious,Inner Regional Australia,-32.57020846,151.1691229,2508802.5
Uniting Springwood,2 Lewin Street,,SPRINGWOOD,NSW,2777,Nepean,Residential,136,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.69642844,150.5538576,9296103.72
Frank And Jess Kennett Home,1 A Railway Crescent,,STANWELL PARK,NSW,2508,Illawarra,Residential,44,,,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,-34.226181,150.982722,2768332.92
IRT Thomas Holt Kirrawee,"1-25 Acacia Road, North",,KIRRAWEE,NSW,2232,South East Sydney,Residential,218,,,Illawarra Retirement Trust,Community Based,Major Cities of Australia,-34.02141758,151.0678777,9417494.49
James Milson Village North Sydney,4 Clark Road,,NORTH SYDNEY,NSW,2060,Northern Sydney,Residential,138,,,North Sydney Retirement Trust,Community Based,Major Cities of Australia,-33.84037215,151.2146296,7335087.29
Catholic Healthcare Vincentian Aged Care Service,48 Yurong Street,,DARLINGHURST,NSW,2010,South East Sydney,Residential,30,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.87557328,151.214163,2669909.86
Wesley Vickery,101 Port Hacking Road,,SYLVANIA,NSW,2224,South East Sydney,Residential,69,,,Wesley Community Services Limited,Charitable,Major Cities of Australia,-34.0197251,151.1054378,4140374.89
Nazareth House Tamworth,80-104 Manilla Road,,OXLEY VALE,NSW,2340,New England,Residential,90,,,Nazareth Care,Religious,Inner Regional Australia,-31.06339605,150.9035397,6657214.52
RFBI Tamworth Masonic Village,16 Kitchener Street,,TAMWORTH,NSW,2340,New England,Residential,62,,,Royal Freemasons' Benevolent Institution,Charitable,Inner Regional Australia,-31.098067,150.941568,4642078.76
Phillip R H Chalker Sunset Lodge,49-53 Bunnaby Street,,TARALGA,NSW,2580,Southern Highlands,Residential,23,,,Crookwell/Taralga Aged Care Ltd,Community Based,Inner Regional Australia,-34.40582572,149.8211439,1392647.58
Alkira Lodge,2 A Bushland Drive,,TAREE,NSW,2430,Mid North Coast,Residential,89,,,Bushland Health Group Limited,Community Based,Inner Regional Australia,-31.89595428,152.4841091,5412343.81
The Whiddon Group Temora - Greenstone,37 Gloucester Street,,TEMORA,NSW,2666,Riverina/Murray,Residential,36,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Outer Regional Australia,-34.44336781,147.5423596,2121353.61
Agris Hutrof House,25 Estonian Road,,THIRLMERE,NSW,2572,South West Sydney,Residential,65,,,RSL LifeCare Limited,Community Based,Inner Regional Australia,-34.2020681,150.5529741,4377613.54
McCauley Lodge,10-12 Tasman Parade,,THIRROUL,NSW,2515,Illawarra,Residential,35,,,The Churches of Christ Property Trust,Religious,Major Cities of Australia,-34.320638,150.923813,2286111.89
Constitution Hill Aged Care,3 Centenary Avenue,,NORTHMEAD,NSW,2152,Western Sydney,Residential,121,,,Australian Unity Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.78881106,150.9787296,7971830.43
Catholic Healthcare Blakeney Lodge,27-29 Carey Street,,TUMUT,NSW,2720,Riverina/Murray,Residential,30,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-35.29806267,148.2190017,2033657.22
Southern Cross Care North Turramurra Residential Aged Care,402 Bobbin Head Road,,NORTH TURRAMURRA,NSW,2074,Northern Sydney,Residential,113,,,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,-33.70083735,151.1469716,7567986.12
Elizabeth Lodge Hostel,79 Mt Pleasant Avenue,,NORMANHURST,NSW,2076,Northern Sydney,Residential,94,,,Seventh-day Adventist Aged Care (Greater Sydney) Ltd,Private Incorporated Body,Major Cities of Australia,-33.72705723,151.0990233,5690123.61
Catholic Healthcare McQuoin Park,35 Pacific Highway,,WAHROONGA,NSW,2076,Northern Sydney,Residential,122,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.7136326,151.1071563,8500582.6
Warrigal Care Mt Warrigal,5 Rowland Avenue,,MOUNT WARRIGAL,NSW,2528,Illawarra,Residential,40,,,Warrigal Care,Charitable,Major Cities of Australia,-34.54768467,150.8440831,2681672.97
The Whiddon Group - Wingham - Primrose,12 Primrose Street,,WINGHAM,NSW,2429,Mid North Coast,Residential,82,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,-31.86920075,152.3707146,4048840.58
Woodberry Village,129 Lanhams Road,,WINSTON HILLS,NSW,2153,Western Sydney,Residential,122,,,Anglican Community Services,Religious,Major Cities of Australia,-33.77693706,150.9759948,7344285.28
IRT Diment Towers,39-45 Staff Street,,WOLLONGONG,NSW,2500,Illawarra,Residential,63,,,Illawarra Retirement Trust,Community Based,Major Cities of Australia,-34.42734794,150.8800214,3834448.54
BaptistCare Bethshan Gardens Centre,30 Forest Road,,WYEE,NSW,2259,Hunter,Residential,139,,,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,-33.17004419,151.4723694,9607942.17
Adelene Court Hostel,1 Birch Road,,WYOMING,NSW,2250,Central Coast,Residential,35,,,Adelene Retirement Village,Charitable,Major Cities of Australia,-33.41152635,151.3648161,1854440.96
